127.0.0.1 - - [05/Jun/2021:14:33:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:20 +0900] "GET /SHTwist/cody.html HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:20 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:20 +0900] "GET /SHTwist/css/main.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:20 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:20 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:22 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:22 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:22 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:22 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:27 +0900] "POST /SHTwist/jsp/login.jsp?id=ryu&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:27 +0900] "GET /SHTwist/mix.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:33:27 +0900] "GET /SHTwist/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:35:09 +0900] "GET /SHTwist/canvas.html HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:35:38 +0900] "GET /SHTwist/canvas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:35:57 +0900] "GET /SHTwist/canvas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:36:47 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:16 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:16 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:17 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:17 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:49 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:49 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:50 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:38:50 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:27 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:27 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:29 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:33 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:34 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:37 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:37 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:39:37 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:20 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:23 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:23 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:23 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:23 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:24 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:27 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:27 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:28 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:28 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:34 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:34 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:34 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:43 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:43 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2021:14:42:44 +0900] "GET /SHTwist/canvas2.html HTTP/1.1" 304 -
