127.0.0.1 - - [14/Jun/2021:18:16:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:54 +0900] "GET /SHTwist/noticeAdd.html HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:55 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:55 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:55 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:55 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:56 +0900] "GET /SHTwist/login.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:56 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:56 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:18:16:56 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
