127.0.0.1 - - [13/Jun/2021:23:19:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:10 +0900] "GET /SHTwist/notice.html HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:11 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:11 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:11 +0900] "GET /SHTwist/css/main.css HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:11 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:11 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:12 +0900] "GET /SHTwist/login.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:12 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:12 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:19:12 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:37 +0900] "GET /SHTwist/canvas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:37 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:37 +0900] "GET /SHTwist/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:37 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:37 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:41 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:47 +0900] "GET /SHTwist/mix.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:47 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:49 +0900] "GET /SHTwist/closet.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:49 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:49 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:24:50 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:18 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:18 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:18 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:18 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:19 +0900] "GET /SHTwist/login.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:19 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:19 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:19 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:42 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:42 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:43 +0900] "GET /SHTwist/login.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:43 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:43 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:43 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:44 +0900] "GET /SHTwist/login.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:44 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:44 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:44 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:44 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:45 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:47 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:47 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:47 +0900] "POST /SHTwist/jsp/login.jsp?id=ryu&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:49 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:50 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:50 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:25:53 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:26:21 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:26:21 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:26:59 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:26:59 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:01 +0900] "POST /SHTwist/jsp/login.jsp?id=ryu&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:01 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:03 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:04 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:04 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:05 +0900] "POST /SHTwist/jsp/friendList.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:05 +0900] "POST /SHTwist/jsp/imgGetGroup.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:05 +0900] "GET /SHTwist/images/contact.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:05 +0900] "GET /SHTwist/images/canvas-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:06 +0900] "GET /SHTwist/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:06 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:06 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:06 +0900] "POST /SHTwist/jsp/friendList.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:07 +0900] "GET /SHTwist/setup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:07 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:09 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:09 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:09 +0900] "POST /SHTwist/jsp/friendList.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:10 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:11 +0900] "GET /SHTwist/userInfo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:11 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:11 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:11 +0900] "POST /SHTwist/jsp/userGet.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:47 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:47 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:47 +0900] "POST /SHTwist/jsp/friendList.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:48 +0900] "GET /SHTwist/notice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:48 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:49 +0900] "POST /SHTwist/jsp/friendList.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:51 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:51 +0900] "POST /SHTwist/jsp/friendList.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:52 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:53 +0900] "GET /SHTwist/masterPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:53 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:53 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:54 +0900] "GET /SHTwist/noticeAdd.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:27:54 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:14 +0900] "GET /SHTwist/noticeAdd.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:14 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:14 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:15 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:15 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:17 +0900] "GET /SHTwist/feedDelete.html HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:17 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:18 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:18 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:19 +0900] "GET /SHTwist/userList.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:19 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:19 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:20 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:20 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:21 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:22 +0900] "GET /SHTwist/noticeAdd.html HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:22 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:22 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:23 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:23 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:25 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:25 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:26 +0900] "GET /SHTwist/noticeAdd.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:26 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:27 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:28 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:28 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:29 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:29 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:30 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:30 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:31 +0900] "POST /SHTwist/jsp/session.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:31 +0900] "POST /SHTwist/jsp/userList.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [13/Jun/2021:23:28:32 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
